"A Industrial classfication","TIME Period",T10 Value of shipments_total (14STD05053 In Million Won),T101 Value of products shipped (14STD05053 In Million Won),T102 Sales of by-product and waste (14STD05053 In Million Won),T103 Toll processing income (14STD05053 In Million Won),T104 Income from repair (14STD05053 In Million Won),T20 Gross output (14STD05053 In Million Won),T30 Value added (14STD05053 In Million Won),T40 Major production cost_total (14STD05053 In Million Won),T401 Expense from raw materials (14STD05053 In Million Won),T402 Fuel expense (14STD05053 In Million Won),T403 Electricity cost (14STD05053 In Million Won),T404 Water expense (14STD05053 In Million Won),T405 Outsourced processing fee (14STD05053 In Million Won),T406 Mending fee (14STD05053 In Million Won),T50 Business expenses (14STD05053 In Million Won)
"142 Manufacture of articles of fur","5Y2020 2020",157275,146333,18,10924,0,154640,57571,97069,76036,232,337,28,20033,403,32938
"1420 Manufacture of articles of fur","5Y2020 2020",157275,146333,18,10924,0,154640,57571,97069,76036,232,337,28,20033,403,32938
"14200 Manufacture of articles of fur","5Y2020 2020",157275,146333,18,10924,0,154640,57571,97069,76036,232,337,28,20033,403,32938
"143 Manufacture of knitted and crocheted apparel","5Y2020 2020",582523,512459,0,70064,0,570575,190980,379595,211469,219,1580,70,165974,283,33622
"1430 Manufacture of knitted and crocheted apparel","5Y2020 2020",582523,512459,0,70064,0,570575,190980,379595,211469,219,1580,70,165974,283,33622
"14300 Manufacture of knitted and crocheted apparel","5Y2020 2020",582523,512459,0,70064,0,570575,190980,379595,211469,219,1580,70,165974,283,33622
"144 Manufacture of apparel accessories","5Y2020 2020",765057,698283,0,66774,0,765320,321478,443842,335174,2194,7107,1627,96298,1442,255468
"1441 Manufacture of knitted and crocheted apparel accessories","5Y2020 2020",450354,406663,0,43691,0,456922,188080,268842,201055,1694,5211,1197,58814,871,29584
"14411 Manufacture of stockings and other hosiery","5Y2020 2020",176156,134136,0,42020,0,179895,71338,108557,65167,548,1867,322,40353,300,5173
"14419 Manufacture of other knitted and crocheted apparel accessories","5Y2020 2020",274198,272527,0,1671,0,277027,116742,160285,135888,1146,3344,875,18461,571,24411
"1449 Manufacture of other clothing accessories","5Y2020 2020",314703,291620,0,23083,0,308398,133398,175000,134119,500,1896,430,37484,571,225884
"14491 Manufacture of hats and caps","5Y2020 2020",81854,67359,0,14495,0,82251,35484,46767,28535,69,344,154,17432,233,204351
"14499 Manufacture of other clothing accessories n.e.c.","5Y2020 2020",232849,224261,0,8588,0,226147,97914,128233,105584,431,1552,276,20052,338,21533
"15 Manufacture of leather, luggage and footwear","5Y2020 2020",3403680,3272652,2089,128897,42,3375298,1335783,2039515,1356359,12500,30358,5401,624455,10442,145985
"151 Manufacture of leather, luggage and similar products","5Y2020 2020",1675646,1579541,1895,94210,0,1659762,604563,1055199,677133,10614,20089,5168,335953,6242,32715
"1511 Manufacture of furs and leathers","5Y2020 2020",821817,772638,1895,47284,0,812803,311313,501490,365548,10090,17790,5085,97304,5673,11960
"15110 Manufacture of furs and leathers","5Y2020 2020",821817,772638,1895,47284,0,812803,311313,501490,365548,10090,17790,5085,97304,5673,11960
"1512 Manufacture of handbags, luggage and other protective cases","5Y2020 2020",751849,710899,0,40950,0,744794,260251,484543,256576,472,1764,79,225231,421,19167
"15121 Manufacture of handbags and purses","5Y2020 2020",519539,495986,0,23553,0,507538,175773,331765,148957,332,749,36,181487,204,6720
"15129 Manufacture of luggage and other protective cases","5Y2020 2020",232310,214913,0,17397,0,237256,84478,152778,107619,140,1015,43,43744,217,12447
"1519 Manufacture of other leather articles","5Y2020 2020",101980,96004,0,5976,0,102165,32999,69166,55009,52,535,4,13418,148,1588
"15190 Manufacture of other leather articles","5Y2020 2020",101980,96004,0,5976,0,102165,32999,69166,55009,52,535,4,13418,148,1588
"152 Manufacture of footwear and parts of footwear","5Y2020 2020",1728034,1693111,194,34687,42,1715536,731220,984316,679226,1886,10269,233,288502,4200,113270
"1521 Manufacture of footwear","5Y2020 2020",1460269,1439949,192,20086,42,1447217,609748,837469,562448,602,4481,142,266306,3490,110846
"15211 Manufacture of shoes","5Y2020 2020",716136,700412,0,15724,0,704064,375333,328731,182040,420,1570,60,142233,2408,15121
"15219 Manufacture of other footwear","5Y2020 2020",744133,739537,192,4362,42,743153,234415,508738,380408,182,2911,82,124073,1082,95725
"1522 Manufacture of parts of footwear","5Y2020 2020",267765,253162,2,14601,0,268319,121472,146847,116778,1284,5788,91,22196,710,2424
"15220 Manufacture of parts of footwear","5Y2020 2020",267765,253162,2,14601,0,268319,121472,146847,116778,1284,5788,91,22196,710,2424
"16 Manufacture of wood and of products of wood and cork; except furniture","5Y2020 2020",5552891,5473240,15918,61790,1943,5541684,2017918,3523766,3129023,23299,113543,6646,216874,34381,712216
"161 Sawmilling and planing of wood","5Y2020 2020",1414987,1374220,12604,28026,137,1417309,502579,914730,854770,1102,22380,245,27896,8337,264044
"1610 Sawmilling and planing of wood","5Y2020 2020",1414987,1374220,12604,28026,137,1417309,502579,914730,854770,1102,22380,245,27896,8337,264044
"16101 Sawmilling of wood","5Y2020 2020",620863,612973,4734,3156,0,616417,173676,442741,426343,260,6758,100,7279,2001,108246
"16102 Manufacture of surface processing wood and woods for special purpose","5Y2020 2020",524958,504759,6132,13930,137,531201,247902,283299,249927,676,12438,75,14533,5650,122702
"16103 Preservation, antisepsis, painting and similar processing of wood","5Y2020 2020",269166,256488,1738,10940,0,269691,81001,188690,178500,166,3184,70,6084,686,33096
"162 Manufacture of wood products","5Y2020 2020",4132458,4093574,3314,33764,1806,4118956,1513247,2605709,2271200,22190,91104,6400,188799,26016,447048
"1621 Manufacture of veneer sheets, plywood and densified wood","5Y2020 2020",1838712,1818251,1991,17279,1191,1819897,584091,1235806,1066664,20653,72915,4431,51093,20050,163359
"16211 Manufacture of veneer sheets, plywood and similar laminated wood boards","5Y2020 2020",761820,751348,1504,8968,0,761218,232074,529144,479735,2894,15825,1578,24473,4639,48797
"16212 Manufacture of densified and reconstituted wood","5Y2020 2020",1076892,1066903,487,8311,1191,1058679,352017,706662,586929,17759,57090,2853,26620,15411,114562
"1622 Manufacture of wooden goods for construction industry","5Y2020 2020",1032002,1022724,815,7848,615,1037837,421907,615930,533814,430,9898,726,68425,2637,213548
"16221 Manufacture of wooden doors and related products","5Y2020 2020",709478,701178,490,7810,0,709312,290036,419276,353302,161,7793,265,55685,2070,206589
"16229 Manufacture of other wooden goods for construction industry","5Y2020 2020",322524,321546,325,38,615,328525,131871,196654,180512,269,2105,461,12740,567,6959
"1623 Manufacture of wooden containers, drums and load boards","5Y2020 2020",1110204,1103168,506,6530,0,1109259,434177,675082,602544,1009,7228,1177,60125,2999,65614
"16231 Manufacture of wooden pallets and other load boards","5Y2020 2020",601983,597349,236,4398,0,599718,206265,393453,370347,759,4558,1069,15130,1590,39895
"16232 Manufacture of wooden packing boxes, drums and similar containers","5Y2020 2020",508221,505819,270,2132,0,509541,227912,281629,232197,250,2670,108,44995,1409,25719
"1629 Manufacture of other wood products","5Y2020 2020",151540,149431,2,2107,0,151963,73072,78891,68178,98,1063,66,9156,330,4527
"16291 Manufacture of wooden tools, appliances and household kitchendware","5Y2020 2020",35809,33702,0,2107,0,36262,16723,19539,15017,28,448,5,3953,88,2237
"16292 Manufacture of wooden statuettes and ornaments","5Y2020 2020",18888,18888,0,0,0,19416,11413,8003,6619,35,186,47,1068,48,1112
"16299 Manufacture of other wood products n.e.c.","5Y2020 2020",96843,96841,2,0,0,96285,44936,51349,46542,35,429,14,4135,194,1178
"163 Manufacture of articles of cork, straw and plaiting materials","5Y2020 2020",5446,5446,0,0,0,5419,2092,3327,3053,7,59,1,179,28,1124
"1630 Manufacture of articles of cork, straw and plaiting materials","5Y2020 2020",5446,5446,0,0,0,5419,2092,3327,3053,7,59,1,179,28,1124
"16300 Manufacture of articles of cork, straw and plaiting materials","5Y2020 2020",5446,5446,0,0,0,5419,2092,3327,3053,7,59,1,179,28,1124
"17 Manufacture of pulp, paper and paper products","5Y2020 2020",23250712,22897688,73850,277498,1676,23079087,8972451,14106636,11938093,358191,715756,53344,841946,199306,785097
"171 Manufacture of pulp, paper and paperboard","5Y2020 2020",9362678,9228081,41393,92263,941,9166949,3456992,5709957,4579788,265766,519993,37362,193781,113267,453469
"1711 Manufacture of pulp","5Y2020 2020",6054,1395,0,4659,0,6054,5160,894,849,2,23,0,1,19,0
"17110 Manufacture of pulp","5Y2020 2020",6054,1395,0,4659,0,6054,5160,894,849,2,23,0,1,19,0
"1712 Manufacture of paper and paperboard","5Y2020 2020",9356624,9226686,41393,87604,941,9160895,3451832,5709063,4578939,265764,519970,37362,193780,113248,453469
"17121 Manufacture of newsprint","5Y2020 2020",279017,269615,1089,8313,0,275236,94912,180324,138220,1708,31717,189,5426,3064,0
"17122 Manufacture of printing and writing paper","5Y2020 2020",3277770,3257609,5787,14374,0,3243555,1196931,2046624,1597855,156582,154486,16393,91230,30078,84044
"17123 Manufacture of kraft paper and paperboard","5Y2020 2020",4093687,4050960,29349,13378,0,3925800,1490068,2435732,1930511,81803,289171,18622,48480,67145,327359
"17124 Manufacture of lamination, composition and specific surface processing paper","5Y2020 2020",1348367,1297458,3033,46935,941,1354061,541467,812594,722081,13792,22612,1489,45210,7410,41374
"17125 Manufacture of paper for sanitary purpose","5Y2020 2020",320345,318020,2135,190,0,324708,106216,218492,176480,11778,21743,669,2346,5476,692
"17129 Manufacture of other paper and paperboard","5Y2020 2020",37438,33024,0,4414,0,37535,22238,15297,13792,101,241,0,1088,75,0
"172 Manufacture of corrugated paper, paper boxes and paper containers","5Y2020 2020",8309650,8174157,25276,109482,735,8312564,3076093,5236471,4616028,54967,91136,10244,409536,54560,164687
"1721 Manufacture of corrugated paper and related products","5Y2020 2020",5710038,5650216,23024,36521,277,5705034,2021436,3683598,3358777,50002,53254,7911,173794,39860,98700
"17211 Manufacture of corrugated paper","5Y2020 2020",933147,919636,4139,9372,0,931421,294802,636619,578751,24237,11751,2983,10407,8490,4725
"17212 Manufacture of corrugated boxes and related products","5Y2020 2020",4776891,4730580,18885,27149,277,4773613,1726634,3046979,2780026,25765,41503,4928,163387,31370,93975
"1722 Manufacture of paper sacks, paperboard boxes and containers","5Y2020 2020",2599612,2523941,2252,72961,458,2607530,1054657,1552873,1257251,4965,37882,2333,235742,14700,65987
"17221 Manufacture of paper sacks and paper bags","5Y2020 2020",425453,411406,163,13884,0,425897,165297,260600,217943,760,3990,146,34327,3434,12573
"17222 Manufacture of paperboard boxes and containers","5Y2020 2020",725872,707772,391,17709,0,727538,310639,416899,312487,2107,9829,208,88659,3609,4886
"17223 Manufacture of sanitary paper boxes and containers for food","5Y2020 2020",656524,650877,1259,4388,0,660182,241565,418617,353590,1006,13433,1826,44171,4591,32390
"17229 Manufacture of other paper boxes and containers","5Y2020 2020",791763,753886,439,36980,458,793913,337156,456757,373231,1092,10630,153,68585,3066,16138
"179 Manufacture of other paper and paperboard products","5Y2020 2020",5578384,5495450,7181,75753,0,5599574,2439366,3160208,2742277,37458,104627,5738,238629,31479,166941
"1790 Manufacture of other paper and paperboard products","5Y2020 2020",5578384,5495450,7181,75753,0,5599574,2439366,3160208,2742277,37458,104627,5738,238629,31479,166941
"17901 Manufacture of stationery paper","5Y2020 2020",672906,643484,3,29419,0,675567,306353,369214,284889,776,6632,301,73277,3339,32975
"17902 Manufacture of sanitary paper products","5Y2020 2020",3233436,3206601,6531,20304,0,3248919,1443378,1805541,1592315,22270,70129,3564,96061,21202,86885
"17903 Manufacture of wallpaper and oilpaper","5Y2020 2020",409396,408100,57,1239,0,407813,178627,229186,198668,4985,5650,1051,16594,2238,6311
"17909 Manufacture of other articles of paper and paperboard n.e.c.","5Y2020 2020",1262646,1237265,590,24791,0,1267275,511008,756267,666405,9427,22216,822,52697,4700,40770
"18 Printing and reproduction of recorded media","5Y2020 2020",4912054,669360,4299,4238389,6,4908447,2421187,2487260,1687490,9296,72087,5458,683975,28954,413681
"181 Printing and service activities related to printing","5Y2020 2020",4878934,639179,4299,4235450,6,4875488,2405611,2469877,1677451,9292,71471,5455,677408,28800,413524
"1811 Printing","5Y2020 2020",3686734,19378,2548,3664802,6,3686830,1766070,1920760,1294607,7157,52248,3571,544290,18887,263865
"18111 Master printing by stencil plate and similar plates","5Y2020 2020",468957,952,211,467788,6,469163,252388,216775,150471,422,5899,550,57164,2269,10751
"18112 Screen printing","5Y2020 2020",545039,3701,844,540494,0,545054,287984,257070,175605,1635,9288,169,67028,3345,7085
"18113 Offset printing","5Y2020 2020",1820934,4542,1493,1814899,0,1820809,815368,1005441,627605,3193,25087,2440,336578,10538,98662
"18119 Other printing","5Y2020 2020",851804,10183,0,841621,0,851804,410330,441474,340926,1907,11974,412,83520,2735,147367
"1812 Service activities related to printing","5Y2020 2020",1192200,619801,1751,570648,0,1188658,639541,549117,382844,2135,19223,1884,133118,9913,149659
"18121 Plate-making and typesetting services","5Y2020 2020",687590,612991,1067,73532,0,684075,346362,337713,263336,1271,11162,1062,56011,4871,90891
"18122 Bookbinding services","5Y2020 2020",330113,6810,684,322619,0,330117,201910,128207,67723,714,5470,291,51088,2921,833
"18129 Other service activities related to printing","5Y2020 2020",174497,0,0,174497,0,174466,91269,83197,51785,150,2591,531,26019,2121,57935
"182 Reproduction of recorded media","5Y2020 2020",33120,30181,0,2939,0,32959,15576,17383,10039,4,616,3,6567,154,157
"1820 Reproduction of recorded media","5Y2020 2020",33120,30181,0,2939,0,32959,15576,17383,10039,4,616,3,6567,154,157
"18200 Reproduction of recorded media","5Y2020 2020",33120,30181,0,2939,0,32959,15576,17383,10039,4,616,3,6567,154,157
"19 Manufacture of coke, briquettes and refined petroleum products","5Y2020 2020",83011748,82174325,802103,35300,20,81500188,13889959,67610229,63877232,1673789,1265840,93040,468228,232100,317289
"191 Manufacture of coke and briquettes","5Y2020 2020",255191,245762,46,9383,0,238375,75587,162788,143888,198,3754,47,1231,13670,316
"1910 Manufacture of coke and briquettes","5Y2020 2020",255191,245762,46,9383,0,238375,75587,162788,143888,198,3754,47,1231,13670,316
"19101 Manufacture of coke and related products","5Y2020 2020",165415,155986,46,9383,0,149388,63916,85472,68058,54,2967,2,1224,13167,67
"19102 Manufacture of briquettes and other coal products","5Y2020 2020",89776,89776,0,0,0,88987,11671,77316,75830,144,787,45,7,503,249
"192 Manufacture of refined petroleum products","5Y2020 2020",82756557,81928563,802057,25917,20,81261813,13814372,67447441,63733344,1673591,1262086,92993,466997,218430,316973
"1921 Petroleum refineries","5Y2020 2020",79781267,78989505,791073,689,0,78302247,12910580,65391667,61752373,1659382,1246513,89451,433476,210472,191317
"19210 Petroleum refineries","5Y2020 2020",79781267,78989505,791073,689,0,78302247,12910580,65391667,61752373,1659382,1246513,89451,433476,210472,191317
"1922 Reprocessing of fractionation in petroleum refinery","5Y2020 2020",2975290,2939058,10984,25228,20,2959566,903792,2055774,1980971,14209,15573,3542,33521,7958,125656
"19221 Manufacture of lubricating oils and greases","5Y2020 2020",2181067,2167979,146,12942,0,2170788,622499,1548289,1505529,2411,7059,1488,29273,2529,95152
"19229 Reprocessing of other fractionation in petroleum refinery","5Y2020 2020",794223,771079,10838,12286,20,788778,281293,507485,475442,11798,8514,2054,4248,5429,30504
"20 Manufacture of chemicals and chemical products; except pharmaceuticals and medicinal chemicals","5Y2020 2020",145811941,142185571,2828857,775343,22170,145131663,46363237,98768426,84999044,5089565,4005729,612647,2747626,1313815,7876708
"201 Manufacture of basic chemicals","5Y2020 2020",51473785,50537387,704156,217126,15116,50967996,13909613,37058383,31290020,2504774,2113974,281800,336437,531378,2866287
"2011 Manufacture of basic organic chemicals","5Y2020 2020",40830318,40069800,602856,150517,7145,40416235,9029995,31386240,27088101,2356374,1134121,166212,232739,408693,1961189
"20111 Manufacture of basic organic petrochemicals","5Y2020 2020",25790552,25405730,376385,8437,0,25588331,4863140,20725191,17449747,2028671,752735,100679,180244,213115,1061260
"20112 Manufacture of natural gum and silvichemicals","5Y2020 2020",131791,131158,221,412,0,134244,69768,64476,59508,1050,2012,161,1219,526,6290
"20119 Manufacture of coal and other basic organic chemicals","5Y2020 2020",14907975,14532912,226250,141668,7145,14693660,4097087,10596573,9578846,326653,379374,65372,51276,195052,893639
"2012 Manufacture of basic inorganic chemicals","5Y2020 2020",8636054,8516777,65849,45927,7501,8550310,4139025,4411285,3070620,119002,931570,108523,76181,105389,714431
"20121 Manufacture of industrial gases","5Y2020 2020",4454000,4434106,10437,2076,7381,4449351,2325999,2123352,1429123,33803,547302,44139,27697,41288,354182
"20129 Manufacture of other basic inorganic chemicals","5Y2020 2020",4182054,4082671,55412,43851,120,4100959,1813026,2287933,1641497,85199,384268,64384,48484,64101,360249
"2013 Manufacture of inorganic dyes, pigments, tanning materials and other coloring agents","5Y2020 2020",2007413,1950810,35451,20682,470,2001451,740593,1260858,1131299,29398,48283,7065,27517,17296,190667
"20131 Manufacture of metal oxides for inorganic pigments and related products","5Y2020 2020",454161,444920,7566,1675,0,454575,169797,284778,249907,5889,14060,2627,5688,6607,108485
"20132 Manufacture of dyes, synthetic inorganic pigments, tanning materials and other coloring agents","5Y2020 2020",1553252,1505890,27885,19007,470,1546876,570796,976080,881392,23509,34223,4438,21829,10689,82182
"202 Manufacture of plastics and synthetic rubber in primary forms","5Y2020 2020",43215190,40948036,2053923,213206,25,42966987,10592834,32374153,27315709,2229351,1334075,180563,848410,466045,577722
"2020 Manufacture of plastics and synthetic rubber in primary forms","5Y2020 2020",43215190,40948036,2053923,213206,25,42966987,10592834,32374153,27315709,2229351,1334075,180563,848410,466045,577722
"20201 Manufacture of synthetic rubber","5Y2020 2020",2434982,2421377,1614,11991,0,2441683,599584,1842099,1640033,54243,70332,16994,11287,49210,33709
"20202 Manufacture of synthetic resin and other plastic materials","5Y2020 2020",38415868,36257936,2044203,113704,25,38175044,9242588,28932456,24246535,2155567,1187882,162502,780545,399425,421832
"20203 Manufacture of mixed, blended and recycled plastic materials","5Y2020 2020",2364340,2268723,8106,87511,0,2350260,750662,1599598,1429141,19541,75861,1067,56578,17410,122181
"203 Manufacture of fertilizers, pesticides, germicides and insecticides","5Y2020 2020",3957922,3876894,22822,57580,626,3998564,1583816,2414748,2212685,36186,40145,4023,76194,45515,490528
"2031 Manufacture of fertilizers and nitrogen compounds","5Y2020 2020",2077565,2034559,22718,20288,0,2077095,797259,1279836,1152762,33566,30187,3063,25166,35092,459296
"20311 Manufacture of nitrogen compounds and nitrogenous, phosphatic and potassic fertilizers","5Y2020 2020",109918,109918,0,0,0,109484,45457,64027,61660,451,830,101,252,733,5118
"20312 Manufacture of composite and other chemical fertilizers","5Y2020 2020",1204556,1170733,18589,15234,0,1196094,319652,876442,790086,23817,14821,949,20889,25880,414680
"20313 Manufacture of organic fertilizers and bed soils","5Y2020 2020",763091,753908,4129,5054,0,771517,432150,339367,301016,9298,14536,2013,4025,8479,39498
"2032 Manufacture of germicides, insecticides and pesticides","5Y2020 2020",1880357,1842335,104,37292,626,1921469,786557,1134912,1059923,2620,9958,960,51028,10423,31232
"20321 Manufacture of chemical germicides, insecticides and agrochemical products","5Y2020 2020",1661142,1623993,104,36419,626,1694264,686270,1007994,936139,2393,8858,927,50566,9111,23993
"20322 Manufacture of biotic germicides, insecticides and plant protectors","5Y2020 2020",219215,218342,0,873,0,227205,100287,126918,123784,227,1100,33,462,1312,7239
"204 Manufacture of other chemical products","5Y2020 2020",44059952,43759764,34124,259661,6403,44181586,19386951,24794635,22416153,201651,370095,139333,1433541,233862,3912439
"2041 Manufacture of ink, paint, coating and similar products","5Y2020 2020",5838459,5823054,4592,10813,0,5857320,2139398,3717922,3470858,47965,71028,28539,63104,36428,200154
"20411 Manufacture of general paints and similar products","5Y2020 2020",4946421,4933105,4532,8784,0,4943822,1734805,3209017,2989546,43468,62678,26563,54317,32445,135646
"20412 Manufacture of enames, glazes, engobes and similar preparations for ceramic","5Y2020 2020",112282,110498,60,1724,0,112684,52480,60204,54826,2140,1298,662,577,701,14054
"20413 Manufacture of printing ink and paints for pictures","5Y2020 2020",779756,779451,0,305,0,800814,352113,448701,426486,2357,7052,1314,8210,3282,50454
"2042 Manufacture of detergents, cosmetics and polishing preparations","5Y2020 2020",17017545,16810940,3303,202597,705,16965853,8680215,8285638,6959448,37724,80069,74940,1079650,53807,1507304
"20421 Manufacture of surface-active agents","5Y2020 2020",1624934,1606450,1427,17057,0,1633505,597745,1035760,978488,8025,20234,6536,12497,9980,100146
"20422 Manufacture of toothpastes, soaps and other detergents","5Y2020 2020",1278755,1271787,304,6664,0,1279134,649686,629448,579045,3885,8862,1445,32119,4092,41050
"20423 Manufacture of perfumes and cosmetics","5Y2020 2020",13778479,13598826,1572,177376,705,13717714,7243419,6474295,5271594,25374,48639,66743,1023056,38889,1344858
"20424 Manufacture of wax, polish and preparations for perfuming or deodorizing room","5Y2020 2020",335377,333877,0,1500,0,335500,189365,146135,130321,440,2334,216,11978,846,21250
"2049 Manufacture of other chemical products n.e.c.","5Y2020 2020",21203948,21125770,26229,46251,5698,21358413,8567338,12791075,11985847,115962,218998,35854,290787,143627,2204981
"20491 Manufacture of sensitized materials and related chemical preparations","5Y2020 2020",532066,525024,0,7042,0,524402,204556,319846,296883,2182,7349,2597,9002,1833,90277
"20492 Manufacture of processed and refined salt","5Y2020 2020",80265,80256,0,9,0,79956,43181,36775,26043,975,8974,22,76,685,519031
"20493 Manufacture of adhesives and gelatine","5Y2020 2020",1971781,1968775,892,2114,0,1976512,809593,1166919,1099337,9908,19352,2839,25457,10026,145836
"20494 Manufacture of explosives and pyrotechnic products","5Y2020 2020",529861,527650,0,2211,0,534724,322812,211912,190646,5417,5293,1048,7208,2300,26785
"20495 Manufacture of biofuels and related mixture","5Y2020 2020",834023,826216,7807,0,0,866301,171226,695075,675893,9950,3263,2134,2305,1530,113760
"20499 Manufacture of other chemical products n.e.c.","5Y2020 2020",17255952,17197849,17530,34875,5698,17376518,7015970,10360548,9697045,87530,174767,27214,246739,127253,1309292
"205 Manufacture of man-made fibers","5Y2020 2020",3105092,3063490,13832,27770,0,3016530,890023,2126507,1764477,117603,147440,6928,53044,37015,29732
"2050 Manufacture of man-made fibers","5Y2020 2020",3105092,3063490,13832,27770,0,3016530,890023,2126507,1764477,117603,147440,6928,53044,37015,29732
"20501 Manufacture of synthetic fibers","5Y2020 2020",2892158,2850683,13705,27770,0,2806679,764274,2042405,1691611,114337,141457,6709,52498,35793,26946
"20502 Manufacture of regenerated fibers","5Y2020 2020",212934,212807,127,0,0,209851,125749,84102,72866,3266,5983,219,546,1222,2786
"21 Manufacture of pharmaceuticals, medicinal chemical and botanical products","5Y2020 2020",25004258,23925033,32036,1045835,1354,25431984,15877758,9554226,7428084,120119,246995,40882,1538819,179327,2365515
"211 Manufacture of medicinal chemicals, antibiotics and biological products","5Y2020 2020",3497288,3462967,14517,19742,62,3616903,2005035,1611868,1379653,22325,79141,13394,82818,34537,125016
"2110 Manufacture of medicinal chemicals, antibiotics and biological products","5Y2020 2020",3497288,3462967,14517,19742,62,3616903,2005035,1611868,1379653,22325,79141,13394,82818,34537,125016
"21101 Manufacture of medicinal chemicals and antibiotics","5Y2020 2020",2144040,2119468,7613,16959,0,2190312,1091040,1099272,941724,14762,61044,7766,48763,25213,108417
"21102 Manufacture of biological products","5Y2020 2020",1353248,1343499,6904,2783,62,1426591,913995,512596,437929,7563,18097,5628,34055,9324,16599
"212 Manufacture of medicaments","5Y2020 2020",19962146,18930031,17519,1014529,67,20230171,13004705,7225466,5392145,94630,159705,27041,1413431,138514,2177424
"2121 Manufacture of finished medicaments","5Y2020 2020",18795646,17811305,15878,968396,67,19054400,12366344,6688056,4888626,90937,150564,25590,1397266,135073,2077463
"21210 Manufacture of finished medicaments","5Y2020 2020",18795646,17811305,15878,968396,67,19054400,12366344,6688056,4888626,90937,150564,25590,1397266,135073,2077463
"2122 Manufacture of herb medicaments","5Y2020 2020",589034,556127,1641,31266,0,592148,324885,267263,256650,1115,4754,816,2058,1870,21391
"21220 Manufacture of herb medicaments","5Y2020 2020",589034,556127,1641,31266,0,592148,324885,267263,256650,1115,4754,816,2058,1870,21391
"2123 Manufacture of animal medicaments","5Y2020 2020",577466,562599,0,14867,0,583623,313476,270147,246869,2578,4387,635,14107,1571,78570
"21230 Manufacture of animal medicaments","5Y2020 2020",577466,562599,0,14867,0,583623,313476,270147,246869,2578,4387,635,14107,1571,78570
"213 Manufacture of medical supplies and related other medicaments","5Y2020 2020",1544824,1532035,0,11564,1225,1584910,868018,716892,656286,3164,8149,447,42570,6276,63075
"2130 Manufacture of medical supplies and related other medicaments","5Y2020 2020",1544824,1532035,0,11564,1225,1584910,868018,716892,656286,3164,8149,447,42570,6276,63075
"21300 Manufacture of medical supplies and related other medicaments","5Y2020 2020",1544824,1532035,0,11564,1225,1584910,868018,716892,656286,3164,8149,447,42570,6276,63075
"22 Manufacture of rubber and plastics products","5Y2020 2020",67945987,66664531,83230,1153884,44342,67869908,25609245,42260663,35123969,393104,1449328,86107,4785519,422636,5635257
"221 Manufacture of rubber products","5Y2020 2020",11654520,11450845,10347,191763,1565,11690074,5315427,6374647,5257989,133851,264026,26898,613774,78109,992250
"2211 Production of rubber tires and tubes; retreading of rubber tires","5Y2020 2020",5890157,5840515,179,49463,0,5908990,3133831,2775159,2353836,118063,161801,19728,81084,40647,88207
"22111 Manufacture of rubber tires and tubes","5Y2020 2020",5807067,5760046,162,46859,0,5825328,3091551,2733777,2321410,117308,160062,19624,74879,40494,69704
"22112 Retreading of rubber tires","5Y2020 2020",83090,80469,17,2604,0,83662,42280,41382,32426,755,1739,104,6205,153,18503
"2219 Manufacture of other rubber products","5Y2020 2020",5764363,5610330,10168,142300,1565,5781084,2181596,3599488,2904153,15788,102225,7170,532690,37462,904043
"22191 Manufacture of rubber packing","5Y2020 2020",1638356,1576440,680,61103,133,1650301,733056,917245,687204,1040,33187,1116,183464,11234,18989
"22192 Manufacture of other industrial un-vulcanized rubber products","5Y2020 2020",3170955,3115036,9474,46098,347,3169773,1023634,2146139,1768078,12416,51857,4820,286845,22123,815209
"22193 Manufacture of apparel and other hygienic articles of rubber","5Y2020 2020",120216,118043,0,2173,0,123533,61528,62005,49137,1279,3048,636,7248,657,23312
"22199 Manufacture of other rubber products n.e.c.","5Y2020 2020",834836,800811,14,32926,1085,837477,363378,474099,399734,1053,14133,598,55133,3448,46533
"222 Manufacture of plastics products","5Y2020 2020",56291467,55213686,72883,962121,42777,56179834,20293818,35886016,29865980,259253,1185302,59209,4171745,344527,4643007
"2221 Manufacture of basic plastics products","5Y2020 2020",15393888,15125868,22458,238854,6708,15273757,5335737,9938020,8660525,118816,395584,21995,614198,126902,807577
"22211 Manufacture of plastic wires, bars, pipes, tubes and hoses","5Y2020 2020",2828347,2791789,8657,23144,4757,2813093,1153830,1659263,1469005,3796,73847,1213,95037,16365,149415
"22212 Manufacture of plastic films","5Y2020 2020",9408921,9198361,13416,197106,38,9328217,3181298,6146919,5310718,98695,261471,14080,370509,91446,402268
"22213 Manufacture of plastic sheets and plates","5Y2020 2020",2560392,2545117,385,12977,1913,2537770,816834,1720936,1550957,9069,50568,998,93429,15915,131659
"22214 Manufacture of plastic synthetic leather","5Y2020 2020",596228,590601,0,5627,0,594677,183775,410902,329845,7256,9698,5704,55223,3176,124235
"2222 Manufacture of builders¡¯ ware of plastic","5Y2020 2020",4955110,4875870,8687,49336,21217,4956263,1804341,3151922,2721716,20884,95517,3195,278674,31936,1586342
"22221 Manufacture of plastic wall and floor coverings","5Y2020 2020",1732961,1724625,5985,2273,78,1731876,565960,1165916,996986,18060,49477,1227,77235,22931,1454712
"22222 Manufacture of plastic products for installation and sanitation","5Y2020 2020",1008172,995373,0,12074,725,1014001,420175,593826,504992,1001,13909,985,69934,3005,46748
